Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	-0.575	-8.5725e-017	-0.1	3676.8
2	-0.57322	-4.9937e-002	-0.1	4800.1
3	-0.56788	-9.962e-002	-0.1	8633.
4	-0.559	-0.1488	-0.1	7107.3
5	-0.54665	-0.19721	-0.1	21742
6	-0.53086	-0.24462	-0.1	17321
7	-0.51174	-0.29079	-0.1	21979
8	-0.48938	-0.33547	-0.1	10259
9	-0.46388	-0.37845	-0.1	40072
10	-0.43538	-0.41949	-0.1	945.21
11	-0.40402	-0.4584	-0.1	31693
12	-0.36997	-0.49497	-0.1	-10746
13	-0.3334	-0.52902	-0.1	21006
14	-0.29449	-0.56038	-0.1	1547.7
15	-0.25345	-0.58888	-0.1	-25290
16	-0.21047	-0.61438	-0.1	29925
17	-0.16579	-0.63674	-0.1	-12831
18	-0.11962	-0.65586	-0.1	-18215
19	-7.2213e-002	-0.67165	-0.1	-7573.8
20	-2.3796e-002	-0.684	-0.1	-14362
21	2.538e-002	-0.69288	-0.1	-5638.9
22	7.5063e-002	-0.69822	-0.1	-20425
23	0.125	-0.7	-0.1	-21442
24	0.17494	-0.69822	-0.1	-11347
25	0.22462	-0.69288	-0.1	-21499
26	0.2738	-0.684	-0.1	6704.
27	0.32221	-0.67165	-0.1	-13221
28	0.36962	-0.65586	-0.1	-10842
29	0.41579	-0.63674	-0.1	5016.4
30	0.46047	-0.61438	-0.1	-4820.4
31	0.50345	-0.58888	-0.1	-3234.9
32	0.54449	-0.56038	-0.1	-9018.8
33	0.5834	-0.52902	-0.1	3964.3
34	0.61997	-0.49497	-0.1	-7933.2
35	0.65402	-0.4584	-0.1	-5291.9
36	0.68538	-0.41949	-0.1	-2169.9
37	0.71388	-0.37845	-0.1	2794.3
38	0.73938	-0.33547	-0.1	-3669.2
39	0.76174	-0.29079	-0.1	1369.5
40	0.78086	-0.24462	-0.1	-1112.1
41	0.79665	-0.19721	-0.1	394.54
42	0.809	-0.1488	-0.1	6218.4
43	0.81788	-9.962e-002	-0.1	182.3
44	0.82322	-4.9937e-002	-0.1	12352
45	0.825	2.6368e-016	-0.1	3711.1
46	0.82322	4.9937e-002	-0.1	6153.4
47	0.81788	9.962e-002	-0.1	6303.9
48	0.809	0.1488	-0.1	-1493.
49	0.79665	0.19721	-0.1	-3721.9
50	0.78086	0.24462	-0.1	-867.26
51	0.76174	0.29079	-0.1	3439.8
52	0.73938	0.33547	-0.1	-7173.
53	0.71388	0.37845	-0.1	-5068.4
54	0.68538	0.41949	-0.1	-2472.7
55	0.65402	0.4584	-0.1	-2647.3
56	0.61997	0.49497	-0.1	467.02
57	0.5834	0.52902	-0.1	198.17
58	0.54449	0.56038	-0.1	-42.629
59	0.50345	0.58888	-0.1	2938.
60	0.46047	0.61438	-0.1	6327.
61	0.41579	0.63674	-0.1	-4972.7
62	0.36962	0.65586	-0.1	-16317
63	0.32221	0.67165	-0.1	-2408.6
64	0.2738	0.684	-0.1	-18456
65	0.22462	0.69288	-0.1	-13095
66	0.17494	0.69822	-0.1	-6458.5
67	0.125	0.7	-0.1	-13182
68	7.5063e-002	0.69822	-0.1	-15891
69	2.538e-002	0.69288	-0.1	12257
70	-2.3796e-002	0.684	-0.1	-39395
71	-7.2213e-002	0.67165	-0.1	2179.3
72	-0.11962	0.65586	-0.1	-18331
73	-0.16579	0.63674	-0.1	-8932.9
74	-0.21047	0.61438	-0.1	3179.5
75	-0.25345	0.58888	-0.1	-30951
76	-0.29449	0.56038	-0.1	35148
77	-0.3334	0.52902	-0.1	-22653
78	-0.36997	0.49497	-0.1	18144
79	-0.40402	0.4584	-0.1	8138.4
80	-0.43538	0.41949	-0.1	-9783.5
81	-0.46388	0.37845	-0.1	39609
82	-0.48938	0.33547	-0.1	21773
83	-0.51174	0.29079	-0.1	20510
84	-0.53086	0.24462	-0.1	16070
85	-0.54665	0.19721	-0.1	6018.5
86	-0.559	0.1488	-0.1	9575.4
87	-0.56788	9.962e-002	-0.1	5879.9
88	-0.57322	4.9937e-002	-0.1	5302.1
89	-0.65	-1.	-0.1	-35496
90	1.	-1.	-0.1	18763
91	-0.6	-1.	-0.1	-9906.9
92	-0.55	-1.	-0.1	6781.6
93	-0.5	-1.	-0.1	6391.4
94	-0.45	-1.	-0.1	-3405.9
95	-0.4	-1.	-0.1	-356.07
96	-0.35	-1.	-0.1	-2128.1
97	-0.3	-1.	-0.1	-3258.2
98	-0.25	-1.	-0.1	187.54
99	-0.2	-1.	-0.1	-6046.8
100	-0.15	-1.	-0.1	-2106.8
101	-0.1	-1.	-0.1	-3241.
102	-5.e-002	-1.	-0.1	1629.9
103	5.4123e-016	-1.	-0.1	1430.2
104	5.e-002	-1.	-0.1	-335.02
105	0.1	-1.	-0.1	1490.
106	0.15	-1.	-0.1	2806.9
107	0.2	-1.	-0.1	3146.2
108	0.25	-1.	-0.1	778.16
109	0.3	-1.	-0.1	3218.
110	0.35	-1.	-0.1	11857
111	0.4	-1.	-0.1	253.91
112	0.45	-1.	-0.1	4616.8
113	0.5	-1.	-0.1	-2758.5
114	0.55	-1.	-0.1	7171.8
115	0.6	-1.	-0.1	6712.1
116	0.65	-1.	-0.1	2364.3
117	0.7	-1.	-0.1	1364.9
118	0.75	-1.	-0.1	3124.9
119	0.8	-1.	-0.1	-1725.6
120	0.85	-1.	-0.1	-2231.5
121	0.9	-1.	-0.1	-2349.1
122	0.95	-1.	-0.1	-16095
123	-0.65	1.	-0.1	-18174
124	-0.65	-0.95	-0.1	-2.7261e+005
125	-0.65	-0.9	-0.1	-1.1711e+005
126	-0.65	-0.85	-0.1	-1.8728e+005
127	-0.65	-0.8	-0.1	-77266
128	-0.65	-0.75	-0.1	-1.074e+005
129	-0.65	-0.7	-0.1	-1.9307e+005
130	-0.65	-0.65	-0.1	-1.4939e+005
131	-0.65	-0.6	-0.1	-63060
132	-0.65	-0.55	-0.1	-1.6269e+005
133	-0.65	-0.5	-0.1	-90236
134	-0.65	-0.45	-0.1	-92331
135	-0.65	-0.4	-0.1	-89751
136	-0.65	-0.35	-0.1	-43868
137	-0.65	-0.3	-0.1	-5166.3
138	-0.65	-0.25	-0.1	-30426
