Node Number	X Location (m)	Y Location (m)	Z Location (m)	Shear Stress (Pa)
1	-0.575	-8.5725e-017	-0.1	2615.8
2	-0.57322	-4.9937e-002	-0.1	3717.1
3	-0.56788	-9.962e-002	-0.1	3551.5
4	-0.559	-0.1488	-0.1	5204.9
5	-0.54665	-0.19721	-0.1	-2882.7
6	-0.53086	-0.24462	-0.1	-22794
7	-0.51174	-0.29079	-0.1	-29628
8	-0.48938	-0.33547	-0.1	-60433
9	-0.46388	-0.37845	-0.1	-25869
10	-0.43538	-0.41949	-0.1	-1.0676e+005
11	-0.40402	-0.4584	-0.1	-1.4633e+005
12	-0.36997	-0.49497	-0.1	-2.0902e+005
13	-0.3334	-0.52902	-0.1	-2.229e+005
14	-0.29449	-0.56038	-0.1	-2.4907e+005
15	-0.25345	-0.58888	-0.1	-1.8563e+005
16	-0.21047	-0.61438	-0.1	-2.3448e+005
17	-0.16579	-0.63674	-0.1	-2.5881e+005
18	-0.11962	-0.65586	-0.1	-3.194e+005
19	-7.2213e-002	-0.67165	-0.1	-2.4971e+005
20	-2.3796e-002	-0.684	-0.1	-1.7736e+005
21	2.538e-002	-0.69288	-0.1	-1.6057e+005
22	7.5063e-002	-0.69822	-0.1	-1.9473e+005
23	0.125	-0.7	-0.1	-1.6777e+005
24	0.17494	-0.69822	-0.1	-1.0311e+005
25	0.22462	-0.69288	-0.1	-73685
26	0.2738	-0.684	-0.1	-32377
27	0.32221	-0.67165	-0.1	-13950
28	0.36962	-0.65586	-0.1	693.13
29	0.41579	-0.63674	-0.1	5841.1
30	0.46047	-0.61438	-0.1	14788
31	0.50345	-0.58888	-0.1	16259
32	0.54449	-0.56038	-0.1	18506
33	0.5834	-0.52902	-0.1	20857
34	0.61997	-0.49497	-0.1	23610
35	0.65402	-0.4584	-0.1	34018
36	0.68538	-0.41949	-0.1	20279
37	0.71388	-0.37845	-0.1	13802
38	0.73938	-0.33547	-0.1	20028
39	0.76174	-0.29079	-0.1	24468
40	0.78086	-0.24462	-0.1	17806
41	0.79665	-0.19721	-0.1	7953.5
42	0.809	-0.1488	-0.1	5207.8
43	0.81788	-9.962e-002	-0.1	1862.6
44	0.82322	-4.9937e-002	-0.1	-1946.6
45	0.825	2.6368e-016	-0.1	-2770.9
46	0.82322	4.9937e-002	-0.1	-1882.8
47	0.81788	9.962e-002	-0.1	-115.42
48	0.809	0.1488	-0.1	5099.4
49	0.79665	0.19721	-0.1	9014.6
50	0.78086	0.24462	-0.1	8482.3
51	0.76174	0.29079	-0.1	32218
52	0.73938	0.33547	-0.1	31516
53	0.71388	0.37845	-0.1	23606
54	0.68538	0.41949	-0.1	21636
55	0.65402	0.4584	-0.1	24683
56	0.61997	0.49497	-0.1	26887
57	0.5834	0.52902	-0.1	26808
58	0.54449	0.56038	-0.1	16377
59	0.50345	0.58888	-0.1	24649
60	0.46047	0.61438	-0.1	11324
61	0.41579	0.63674	-0.1	11446
62	0.36962	0.65586	-0.1	-3396.7
63	0.32221	0.67165	-0.1	-20646
64	0.2738	0.684	-0.1	-27006
