Node Number	X Location (m)	Y Location (m)	Z Location (m)	Shear Stress (Pa)
1	-0.575	-8.5725e-017	-0.1	-1898.4
2	-0.57322	-4.9937e-002	-0.1	7092.8
3	-0.56788	-9.962e-002	-0.1	16054
4	-0.559	-0.1488	-0.1	29784
5	-0.54665	-0.19721	-0.1	55867
6	-0.53086	-0.24462	-0.1	81016
7	-0.51174	-0.29079	-0.1	1.304e+005
8	-0.48938	-0.33547	-0.1	1.3814e+005
9	-0.46388	-0.37845	-0.1	1.2026e+005
10	-0.43538	-0.41949	-0.1	1.7578e+005
11	-0.40402	-0.4584	-0.1	1.7823e+005
12	-0.36997	-0.49497	-0.1	2.0478e+005
13	-0.3334	-0.52902	-0.1	2.1347e+005
14	-0.29449	-0.56038	-0.1	1.8939e+005
15	-0.25345	-0.58888	-0.1	1.4781e+005
16	-0.21047	-0.61438	-0.1	1.1761e+005
17	-0.16579	-0.63674	-0.1	1.2725e+005
18	-0.11962	-0.65586	-0.1	1.0333e+005
19	-7.2213e-002	-0.67165	-0.1	62406
20	-2.3796e-002	-0.684	-0.1	23967
21	2.538e-002	-0.69288	-0.1	12095
22	7.5063e-002	-0.69822	-0.1	817.82
23	0.125	-0.7	-0.1	-17001
24	0.17494	-0.69822	-0.1	-18395
25	0.22462	-0.69288	-0.1	-29609
26	0.2738	-0.684	-0.1	-10365
27	0.32221	-0.67165	-0.1	-19499
28	0.36962	-0.65586	-0.1	-10968
29	0.41579	-0.63674	-0.1	-2822.9
30	0.46047	-0.61438	-0.1	-2136.7
31	0.50345	-0.58888	-0.1	5794.9
32	0.54449	-0.56038	-0.1	6212.7
33	0.5834	-0.52902	-0.1	12536
34	0.61997	-0.49497	-0.1	17382
35	0.65402	-0.4584	-0.1	29020
36	0.68538	-0.41949	-0.1	23162
37	0.71388	-0.37845	-0.1	23797
38	0.73938	-0.33547	-0.1	42633
39	0.76174	-0.29079	-0.1	51146
40	0.78086	-0.24462	-0.1	51007
41	0.79665	-0.19721	-0.1	39340
42	0.809	-0.1488	-0.1	36605
43	0.81788	-9.962e-002	-0.1	37504
44	0.82322	-4.9937e-002	-0.1	23187
45	0.825	2.6368e-016	-0.1	-1607.7
46	0.82322	4.9937e-002	-0.1	-20795
47	0.81788	9.962e-002	-0.1	-29716
48	0.809	0.1488	-0.1	-33049
49	0.79665	0.19721	-0.1	-37926
50	0.78086	0.24462	-0.1	-41153
51	0.76174	0.29079	-0.1	-63196
52	0.73938	0.33547	-0.1	-57607
53	0.71388	0.37845	-0.1	-31089
54	0.68538	0.41949	-0.1	-22964
55	0.65402	0.4584	-0.1	-25956
56	0.61997	0.49497	-0.1	-24686
57	0.5834	0.52902	-0.1	-19251
58	0.54449	0.56038	-0.1	-5483.8
59	0.50345	0.58888	-0.1	-8470.1
60	0.46047	0.61438	-0.1	1337.8
61	0.41579	0.63674	-0.1	2105.7
62	0.36962	0.65586	-0.1	17110
63	0.32221	0.67165	-0.1	18509
64	0.2738	0.684	-0.1	11934
65	0.22462	0.69288	-0.1	32437
66	0.17494	0.69822	-0.1	20247
67	0.125	0.7	-0.1	18878
68	7.5063e-002	0.69822	-0.1	6877.4
69	2.538e-002	0.69288	-0.1	-8764.3
70	-2.3796e-002	0.684	-0.1	-38595
71	-7.2213e-002	0.67165	-0.1	-65210
72	-0.11962	0.65586	-0.1	-76323
73	-0.16579	0.63674	-0.1	-91476
74	-0.21047	0.61438	-0.1	-70938
75	-0.25345	0.58888	-0.1	-1.7185e+005
76	-0.29449	0.56038	-0.1	-2.1053e+005
77	-0.3334	0.52902	-0.1	-1.7889e+005
