nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,      x-velocity,      y-velocity,     temperature
         1, 6.000000000E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359108427E+02
         2, 6.080000387E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359127328E+02
         3, 6.159999575E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359169142E+02
         4, 6.239999962E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359228333E+02
         5, 6.320000349E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359304383E+02
         6, 6.399999536E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359397094E+02
         7, 6.479999924E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359506613E+02
         8, 6.560000311E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359633473E+02
         9, 6.639999498E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359778669E+02
        10, 6.719999886E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359943810E+02
        11, 6.800000273E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360131372E+02
        12, 6.879999460E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360345183E+02
        13, 6.959999847E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360591451E+02
        14, 7.040000235E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360881240E+02
        15, 7.119999782E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.361238631E+02
        16, 7.199999809E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.361758679E+02
        17, 7.279999828E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.362275206E+02
        18, 7.359999847E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.362622028E+02
        19, 7.439999866E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.362894187E+02
        20, 7.519999886E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363115738E+02
        21, 7.599999905E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363297705E+02
        22, 7.679999924E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363446228E+02
        23, 7.759999943E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363565049E+02
        24, 7.839999962E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363656523E+02
        25, 7.919999981E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363722086E+02
        26, 8.000000000E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363762514E+02
        27, 8.080000019E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363777991E+02
        28, 8.160000038E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363768155E+02
        29, 8.240000057E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363732110E+02
        30, 8.320000076E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363668287E+02
        31, 8.400000095E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363574197E+02
        32, 8.480000114E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363445957E+02
        33, 8.560000134E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363277280E+02
        34, 8.640000153E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.363056993E+02
        35, 8.720000172E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.362760888E+02
        36, 8.800000191E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.362293760E+02
        37, 8.880000578E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.361821624E+02
        38, 8.959999765E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.361510480E+02
        39, 9.040000153E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.361265078E+02
        40, 9.120000540E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.361061136E+02
        41, 9.199999727E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360887371E+02
        42, 9.280000114E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360737345E+02
        43, 9.360000502E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360606978E+02
        44, 9.439999689E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360493529E+02
        45, 9.520000076E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360395098E+02
        46, 9.600000464E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360310375E+02
        47, 9.679999651E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360238490E+02
        48, 9.760000038E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360178929E+02
        49, 9.840000425E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360131508E+02
        50, 9.919999973E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360096372E+02
        51, 1.000000000E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360079253E+02
        52, 6.000000000E-02, 2.000000079E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359106641E+02
        53, 6.080000387E-02, 2.000000000E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359126760E+02
        54, 6.159999575E-02, 2.000000000E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359168599E+02
        55, 6.239999962E-02, 2.000000000E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359227807E+02
        56, 6.320000349E-02, 2.000000000E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359303863E+02
        57, 6.399999537E-02, 2.000000000E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359396569E+02
        58, 6.479999924E-02, 2.000000000E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359506072E+02
        59, 6.560000311E-02, 2.000000000E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359632900E+02
        60, 6.639999498E-02, 2.000000000E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359778046E+02
        61, 6.719999886E-02, 2.000000000E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359943110E+02
        62, 6.800000273E-02, 2.000000000E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360130552E+02
        63, 6.879999460E-02, 2.000000000E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360344169E+02
        64, 6.959999848E-02, 2.000000000E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360590091E+02
        65, 7.040000235E-02, 2.000000000E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.360879128E+02
