"Node Number","Temperature","Points:0","Points:1","Points:2"
4,180.12,5,0,0
5,180.12,5,1,0
6,25,1e-15,1,0
7,25,0,0,0
6166,180.12,4.99,0.99,0
6167,180.12,4.99,0.98,0
6168,180.12,4.99,0.97,0
6169,180.12,4.99,0.96,0
6170,180.12,4.99,0.95,0
6171,180.12,4.99,0.94,0
6172,180.12,4.99,0.93,0
6173,180.12,4.99,0.92,0
6174,180.12,4.99,0.91,0
6175,180.12,4.99,0.9,0
6176,180.12,4.99,0.89,0
6177,180.12,4.99,0.88,0
6178,180.12,4.99,0.87,0
6179,180.12,4.99,0.86,0
6180,180.12,4.99,0.85,0
6181,180.12,4.99,0.84,0
6182,180.12,4.99,0.83,0
6183,180.12,4.99,0.82,0
6184,180.12,4.99,0.81,0
6185,180.12,4.99,0.8,0
6186,180.12,4.99,0.79,0
6187,180.12,4.99,0.78,0
6188,180.12,4.99,0.77,0
6189,180.12,4.99,0.76,0
6190,180.12,4.99,0.75,0
6191,180.12,4.99,0.74,0
6192,180.12,4.99,0.73,0
6193,180.12,4.99,0.72,0
6194,180.12,4.99,0.71,0
6195,180.12,4.99,0.7,0
6196,180.12,4.99,0.69,0
6197,180.12,4.99,0.68,0
6198,180.12,4.99,0.67,0
6199,180.12,4.99,0.66,0
6200,180.12,4.99,0.65,0
6201,180.12,4.99,0.64,0
6202,180.12,4.99,0.63,0
6203,180.12,4.99,0.62,0
6204,180.12,4.99,0.61,0
6205,180.12,4.99,0.6,0
6206,180.12,4.99,0.59,0
6207,180.12,4.99,0.58,0
6208,180.12,4.99,0.57,0
6209,180.12,4.99,0.56,0
6210,180.12,4.99,0.55,0
6211,180.12,4.99,0.54,0
6212,180.12,4.99,0.53,0
6213,180.12,4.99,0.52,0
6214,180.12,4.99,0.51,0
6215,180.12,4.99,0.5,0
6216,180.12,4.99,0.49,0
6217,180.12,4.99,0.48,0
6218,180.12,4.99,0.47,0
6219,180.12,4.99,0.46,0
6220,180.12,4.99,0.45,0
6221,180.12,4.99,0.44,0
6222,180.12,4.99,0.43,0
6223,180.12,4.99,0.42,0
6224,180.12,4.99,0.41,0
6225,180.12,4.99,0.4,0
6226,180.12,4.99,0.39,0
6227,180.12,4.99,0.38,0
6228,180.12,4.99,0.37,0
6229,180.12,4.99,0.36,0
6230,180.12,4.99,0.35,0
6231,180.12,4.99,0.34,0
6232,180.12,4.99,0.33,0
6233,180.12,4.99,0.32,0
6234,180.12,4.99,0.31,0
6235,180.12,4.99,0.3,0
6236,180.12,4.99,0.29,0
6237,180.12,4.99,0.28,0
6238,180.12,4.99,0.27,0
6239,180.12,4.99,0.26,0
6240,180.12,4.99,0.25,0
6241,180.12,4.99,0.24,0
6242,180.12,4.99,0.23,0
6243,180.12,4.99,0.22,0
6244,180.12,4.99,0.21,0
6245,180.12,4.99,0.2,0
6246,180.12,4.99,0.19,0
6247,180.12,4.99,0.18,0
6248,180.12,4.99,0.17,0
6249,180.12,4.99,0.16,0
6250,180.12,4.99,0.15,0
6251,180.12,4.99,0.14,0
6252,180.12,4.99,0.13,0
6253,180.12,4.99,0.12,0
6254,180.12,4.99,0.11,0
6255,180.12,4.99,0.1,0
6256,180.12,4.99,0.09,0
6257,180.12,4.99,0.08,0
6258,180.12,4.99,0.07,0
6259,180.12,4.99,0.06,0
6260,180.12,4.99,0.05,0
6261,180.12,4.99,0.04,0
6262,180.12,4.99,0.03,0
6263,180.12,4.99,0.02,0
6264,180.12,4.99,0.01,0
6265,180.12,4.98,0.99,0
6266,180.12,4.98,0.98,0
6267,180.12,4.98,0.97,0
6268,180.12,4.98,0.96,0
6269,180.12,4.98,0.95,0
6270,180.12,4.98,0.94,0
6271,180.12,4.98,0.93,0
6272,180.12,4.98,0.92,0
6273,180.12,4.98,0.91,0
6274,180.12,4.98,0.9,0
6275,180.12,4.98,0.89,0
6276,180.12,4.98,0.88,0
6277,180.12,4.98,0.87,0
6278,180.12,4.98,0.86,0
6279,180.12,4.98,0.85,0
6280,180.12,4.98,0.84,0
6281,180.12,4.98,0.83,0
6282,180.12,4.98,0.82,0
6283,180.12,4.98,0.81,0
6284,180.12,4.98,0.8,0
6285,180.12,4.98,0.79,0
6286,180.12,4.98,0.78,0
6287,180.12,4.98,0.77,0
6288,180.12,4.98,0.76,0
6289,180.12,4.98,0.75,0
6290,180.12,4.98,0.74,0
6291,180.12,4.98,0.73,0
6292,180.12,4.98,0.72,0
6293,180.12,4.98,0.71,0
6294,180.12,4.98,0.7,0
6295,180.12,4.98,0.69,0
6296,180.12,4.98,0.68,0
6297,180.12,4.98,0.67,0
6298,180.12,4.98,0.66,0
6299,180.12,4.98,0.65,0
6300,180.12,4.98,0.64,0
6301,180.12,4.98,0.63,0
6302,180.12,4.98,0.62,0
6303,180.12,4.98,0.61,0
6304,180.12,4.98,0.6,0
6305,180.12,4.98,0.59,0
6306,180.12,4.98,0.58,0
6307,180.12,4.98,0.57,0
6308,180.12,4.98,0.56,0
6309,180.12,4.98,0.55,0
6310,180.12,4.98,0.54,0
6311,180.12,4.98,0.53,0
6312,180.12,4.98,0.52,0
6313,180.12,4.98,0.51,0
6314,180.12,4.98,0.5,0
6315,180.12,4.98,0.49,0
6316,180.12,4.98,0.48,0
6317,180.12,4.98,0.47,0
6318,180.12,4.98,0.46,0
6319,180.12,4.98,0.45,0
6320,180.12,4.98,0.44,0
6321,180.12,4.98,0.43,0
6322,180.12,4.98,0.42,0
6323,180.12,4.98,0.41,0
6324,180.12,4.98,0.4,0
6325,180.12,4.98,0.39,0
6326,180.12,4.98,0.38,0
6327,180.12,4.98,0.37,0
6328,180.12,4.98,0.36,0
6329,180.12,4.98,0.35,0
6330,180.12,4.98,0.34,0
6331,180.12,4.98,0.33,0
6332,180.12,4.98,0.32,0
6333,180.12,4.98,0.31,0
6334,180.12,4.98,0.3,0
6335,180.12,4.98,0.29,0
6336,180.12,4.98,0.28,0
6337,180.12,4.98,0.27,0
6338,180.12,4.98,0.26,0
6339,180.12,4.98,0.25,0
6340,180.12,4.98,0.24,0
6341,180.12,4.98,0.23,0
6342,180.12,4.98,0.22,0
6343,180.12,4.98,0.21,0
6344,180.12,4.98,0.2,0
6345,180.12,4.98,0.19,0
6346,180.12,4.98,0.18,0
6347,180.12,4.98,0.17,0
6348,180.12,4.98,0.16,0
6349,180.12,4.98,0.15,0
6350,180.12,4.98,0.14,0
6351,180.12,4.98,0.13,0
6352,180.12,4.98,0.12,0
6353,180.12,4.98,0.11,0
6354,180.12,4.98,0.1,0
6355,180.12,4.98,0.09,0
6356,180.12,4.98,0.08,0
6357,180.12,4.98,0.07,0
6358,180.12,4.98,0.06,0
6359,180.12,4.98,0.05,0
6360,180.12,4.98,0.04,0
6361,180.12,4.98,0.03,0
6362,180.12,4.98,0.02,0
6363,180.12,4.98,0.01,0
6364,180.12,4.97,0.99,0
6365,180.12,4.97,0.98,0
6366,180.12,4.97,0.97,0
6367,180.12,4.97,0.96,0
6368,180.12,4.97,0.95,0
6369,180.12,4.97,0.94,0
6370,180.12,4.97,0.93,0
6371,180.12,4.97,0.92,0
6372,180.12,4.97,0.91,0
6373,180.12,4.97,0.9,0
6374,180.12,4.97,0.89,0
6375,180.12,4.97,0.88,0
6376,180.12,4.97,0.87,0
